HITId	HITTypeId	Title	Description	Keywords	Reward	CreationTime	MaxAssignments	RequesterAnnotation	AssignmentDurationInSeconds	AutoApprovalDelayInSeconds	Expiration	NumberOfSimilarHITs	LifetimeInSeconds	AssignmentId	WorkerId	AssignmentStatus	AcceptTime	SubmitTime	AutoApprovalTime	ApprovalTime	RejectionTime	RequesterFeedback	WorkTimeInSeconds	LifetimeApprovalRate	Last30DaysApprovalRate	Last7DaysApprovalRate	Input.HITId	Input.AssignmentId	Input.WorkerId	Input.ImageUrl	Input.ActionTag	Answer.tag1	Answer.tag10	Answer.tag2	Answer.tag3	Answer.tag4	Answer.tag5	Answer.tag6	Answer.tag7	Answer.tag8	Answer.tag9	Approve	Reject
35ZRNT9RUIJ7BL746YK6NPP600R3OZ	3I3SD0LMZ4DKTCEFMSWXV3TADKFHS2	List 10 Tasks for the Provided Action and Image	"Please view the image and action provided, and list 10 steps that make up that action"	"image, tag, picture, photo, action, goal"	$0.10	Wed Apr 27 00:14:49 PDT 2016	1	BatchId:2373231;	3600	86400	Wed May 04 00:14:49 PDT 2016			3OS4RQUCRA0KUMVICQLN6YAOOWIBFN	A2VI55LKT5L4KB	Submitted	Wed Apr 27 06:21:17 PDT 2016	Wed Apr 27 06:22:59 PDT 2016	Thu Apr 28 06:22:59 PDT 2016				102	100% (411/412)	100% (47/47)	0% (0/0)	3J6BHNX0U9DVPYFZQPCSPM63L6NKNF	34MAJL3QP585TBUGDGAYXBFLAXE34J	A3D6IPJ4RBCNVY	https://raw.githubusercontent.com/huyouare/mTurkImages/master/bathroom/sun_aacopdmawrifxaso.jpg	clean the pot	step in bathroom	{}	open the toilet lid	apply some toilet cleaner on pot	cleaning pot with the brush	fully clean the pot	{}	{}	{}	{}		
3MA5N0ATTCWLCSODIQ3FL5JUEOCWKF	3I3SD0LMZ4DKTCEFMSWXV3TADKFHS2	List 10 Tasks for the Provided Action and Image	"Please view the image and action provided, and list 10 steps that make up that action"	"image, tag, picture, photo, action, goal"	$0.10	Wed Apr 27 00:14:49 PDT 2016	1	BatchId:2373231;	3600	86400	Wed May 04 00:14:49 PDT 2016			35L9RVQFCP3J4HVU77QIE9EPTY1HUB	A2VI55LKT5L4KB	Submitted	Wed Apr 27 11:46:42 PDT 2016	Wed Apr 27 11:47:56 PDT 2016	Thu Apr 28 11:47:56 PDT 2016				74	100% (411/412)	100% (47/47)	0% (0/0)	3J6BHNX0U9DVPYFZQPCSPM63L6NKNF	34MAJL3QP585TBUGDGAYXBFLAXE34J	A3D6IPJ4RBCNVY	https://raw.githubusercontent.com/huyouare/mTurkImages/master/bathroom/sun_aacopdmawrifxaso.jpg	relax in the tub	enter in the room	{}	fill hot water in bath tub	sitting in bath tub	relaxing in the tub	{}	{}	{}	{}	{}		
3DGDV62G7OU0B3NMHYJGTFP44RNP2R	3I3SD0LMZ4DKTCEFMSWXV3TADKFHS2	List 10 Tasks for the Provided Action and Image	"Please view the image and action provided, and list 10 steps that make up that action"	"image, tag, picture, photo, action, goal"	$0.10	Wed Apr 27 00:14:49 PDT 2016	1	BatchId:2373231;	3600	86400	Wed May 04 00:14:49 PDT 2016			3RGU30DZTBTWIFLBM52HZCDAT2XMJK	A5DOD116124LU	Submitted	Wed Apr 27 03:04:13 PDT 2016	Wed Apr 27 03:06:49 PDT 2016	Thu Apr 28 03:06:49 PDT 2016				156	0% (0/0)	0% (0/0)	0% (0/0)	3J6BHNX0U9DVPYFZQPCSPM63L6NKNF	3I3WADAZ9RPCBJR2AJD0Q6JA5K15OH	A1KIMT9A4JOKL3	https://raw.githubusercontent.com/huyouare/mTurkImages/master/bathroom/sun_aacopdmawrifxaso.jpg	wipe make up off with toilet paper	Pick up toilet paper	throw toilet paper wad in trash	unwind roll a bit	rip off about four squares	put toilet paper roll back	fold squares in half	get make up remover	remove lid	squirt onto toilet paper wad	wipe face		
3BS6ERDL93SF473XZR4OJYPR6DM6DB	3I3SD0LMZ4DKTCEFMSWXV3TADKFHS2	List 10 Tasks for the Provided Action and Image	"Please view the image and action provided, and list 10 steps that make up that action"	"image, tag, picture, photo, action, goal"	$0.10	Wed Apr 27 00:14:50 PDT 2016	1	BatchId:2373231;	3600	86400	Wed May 04 00:14:50 PDT 2016			3CTOC39K38BDXCEOIZ0SGUGKYDB7J3	A2VI55LKT5L4KB	Submitted	Wed Apr 27 07:00:13 PDT 2016	Wed Apr 27 07:02:12 PDT 2016	Thu Apr 28 07:02:12 PDT 2016				119	100% (411/412)	100% (47/47)	0% (0/0)	3J6BHNX0U9DVPYFZQPCSPM63L6NKNF	3J2UYBXQQMXNR6ZXDHLUSB1S3C0066	A180NWQ83I0ZPL	https://raw.githubusercontent.com/huyouare/mTurkImages/master/bathroom/sun_aacopdmawrifxaso.jpg	Flip up the lid of the toilet and urinate or defecate in the bowl.	step in bathroom	{}	go near to toilet	flip up the lid	urinate in toilet	fiush the toilet	close the lid	{}	{}	{}		
3FW4EL5A3L94JWMGF084X2HBTHW22I	3I3SD0LMZ4DKTCEFMSWXV3TADKFHS2	List 10 Tasks for the Provided Action and Image	"Please view the image and action provided, and list 10 steps that make up that action"	"image, tag, picture, photo, action, goal"	$0.10	Wed Apr 27 00:14:50 PDT 2016	1	BatchId:2373231;	3600	86400	Wed May 04 00:14:50 PDT 2016			3TVSS0C0E2LM1UBU21M8AG2AP64TWP	A161AJDHLJVCLZ	Submitted	Wed Apr 27 04:48:38 PDT 2016	Wed Apr 27 04:49:02 PDT 2016	Thu Apr 28 04:49:02 PDT 2016				24	0% (0/0)	0% (0/0)	0% (0/0)	3J6BHNX0U9DVPYFZQPCSPM63L6NKNF	3J2UYBXQQMXNR6ZXDHLUSB1S3C0066	A180NWQ83I0ZPL	https://raw.githubusercontent.com/huyouare/mTurkImages/master/bathroom/sun_aacopdmawrifxaso.jpg	Flush the toilet	sit on the toilet	{}	clean the toilet	flush the toilet	clean the floor	{}	{}	{}	{}	{}		
33CLA8O0MIW5OAFDIL2CITJ8EDGRF5	3I3SD0LMZ4DKTCEFMSWXV3TADKFHS2	List 10 Tasks for the Provided Action and Image	"Please view the image and action provided, and list 10 steps that make up that action"	"image, tag, picture, photo, action, goal"	$0.10	Wed Apr 27 00:14:50 PDT 2016	1	BatchId:2373231;	3600	86400	Wed May 04 00:14:50 PDT 2016			31IBVUNM9TKZ30TOH7CN7A4VRPKVF1	A1XRIEYLA7ZJ3B	Submitted	Wed Apr 27 09:40:07 PDT 2016	Wed Apr 27 09:43:38 PDT 2016	Thu Apr 28 09:43:38 PDT 2016				211	100% (609/609)	0% (0/0)	0% (0/0)	3J6BHNX0U9DVPYFZQPCSPM63L6NKNF	3VZLGYJEYMVXC6PJIY7CYNHYINFXZM	A2VI55LKT5L4KB	https://raw.githubusercontent.com/huyouare/mTurkImages/master/bathroom/sun_aacopdmawrifxaso.jpg	open the lid	unwrap the tissue roll	{}	tear a piece of tissue	open the lid with tissue in your hand	wipe the toilet seat well with more tissue	clean the seat well before use	{}	{}	{}	{}		
3UYRNV2KITKBUXDYH0FPZHXCQCE8NH	3I3SD0LMZ4DKTCEFMSWXV3TADKFHS2	List 10 Tasks for the Provided Action and Image	"Please view the image and action provided, and list 10 steps that make up that action"	"image, tag, picture, photo, action, goal"	$0.10	Wed Apr 27 00:14:50 PDT 2016	1	BatchId:2373231;	3600	86400	Wed May 04 00:14:50 PDT 2016			3R2PKQ87NXT0N4154NHHNBYAGNJIMF	AIC8CB12DQC0K	Submitted	Wed Apr 27 07:25:05 PDT 2016	Wed Apr 27 07:31:01 PDT 2016	Thu Apr 28 07:31:01 PDT 2016				356	100% (263/263)	0% (0/0)	0% (0/0)	3J6BHNX0U9DVPYFZQPCSPM63L6NKNF	3VZLGYJEYMVXC6PJIY7CYNHYINFXZM	A2VI55LKT5L4KB	https://raw.githubusercontent.com/huyouare/mTurkImages/master/bathroom/sun_aacopdmawrifxaso.jpg	sitting of pot	open lid	walk away	sit down	urinate/poo	tear off toilet paper	wipe bottom	stand up	look at poo/pee	close lid	flush toilet		
3ZLW647WALGT4EIZJ0M9GCM3ZVW23T	3I3SD0LMZ4DKTCEFMSWXV3TADKFHS2	List 10 Tasks for the Provided Action and Image	"Please view the image and action provided, and list 10 steps that make up that action"	"image, tag, picture, photo, action, goal"	$0.10	Wed Apr 27 00:14:50 PDT 2016	1	BatchId:2373231;	3600	86400	Wed May 04 00:14:50 PDT 2016			3LOZAJ85YEY76VM7TRYYBC7RYW72XB	A3HX7AFFSFAW02	Submitted	Wed Apr 27 10:27:20 PDT 2016	Wed Apr 27 10:28:28 PDT 2016	Thu Apr 28 10:28:28 PDT 2016				68	0% (0/0)	0% (0/0)	0% (0/0)	3VCK0Q0PO5ZTC88VMW2A62RU78I0NQ	39DD6S19JQWO66Y2NTHKAYWR2H7EZX	A1WD0DK58AKBVE	https://raw.githubusercontent.com/huyouare/mTurkImages/master/bathroom/sun_aamrfepkhweyewue.jpg	use wash basin for hand wash	Wash hands in wash basin	Mop the floor	Brush teeth in wash basin	Clean the wash basin	Wipe the counter top	Turn the water on in the bathtub	Walk into the bathtub	Sit in the bathtub	Wipe the window	Look into the mirror		
3ZQX1VYFTDQTCIDAIFF2E6XHGMJ8OW	3I3SD0LMZ4DKTCEFMSWXV3TADKFHS2	List 10 Tasks for the Provided Action and Image	"Please view the image and action provided, and list 10 steps that make up that action"	"image, tag, picture, photo, action, goal"	$0.10	Wed Apr 27 00:14:50 PDT 2016	1	BatchId:2373231;	3600	86400	Wed May 04 00:14:50 PDT 2016			39LOEL67OTQ6CCHIPJ0BENVQD2X83L	A2VI55LKT5L4KB	Submitted	Wed Apr 27 12:05:11 PDT 2016	Wed Apr 27 12:06:36 PDT 2016	Thu Apr 28 12:06:36 PDT 2016				85	100% (411/412)	100% (47/47)	0% (0/0)	3VCK0Q0PO5ZTC88VMW2A62RU78I0NQ	39DD6S19JQWO66Y2NTHKAYWR2H7EZX	A1WD0DK58AKBVE	https://raw.githubusercontent.com/huyouare/mTurkImages/master/bathroom/sun_aamrfepkhweyewue.jpg	can wash face	stand in front of mirror	{}	take out face wash	wetting my face with water	apply some face wash	wash my face	{}	{}	{}	{}		
3909MD9T2Z2GF6A8WFICJMKPZOQEFF	3I3SD0LMZ4DKTCEFMSWXV3TADKFHS2	List 10 Tasks for the Provided Action and Image	"Please view the image and action provided, and list 10 steps that make up that action"	"image, tag, picture, photo, action, goal"	$0.10	Wed Apr 27 00:14:50 PDT 2016	1	BatchId:2373231;	3600	86400	Wed May 04 00:14:50 PDT 2016			3TXWC2NHN0BAAYL7KQ7QMRYDPMCS9G	A2VI55LKT5L4KB	Submitted	Wed Apr 27 07:20:06 PDT 2016	Wed Apr 27 07:21:41 PDT 2016	Thu Apr 28 07:21:41 PDT 2016				95	100% (411/412)	100% (47/47)	0% (0/0)	3VCK0Q0PO5ZTC88VMW2A62RU78I0NQ	3A4TN5196L3NINEULG5IK3SJLFBCHA	A2VI55LKT5L4KB	https://raw.githubusercontent.com/huyouare/mTurkImages/master/bathroom/sun_aamrfepkhweyewue.jpg	cleaning face with soap	stand in front of washbasin	{}	open the drawer and take out soap	clean hands	wet face with water	apply soap on face	washing face with soap	wipe to dry	{}	{}		
